user_id,screen_name,created_at,timestamp,text_tweet,amount_tweeted,language,location,primary_geo,borough
527850153,LishaPimentel,Sun Apr 15 17:00:03 +0000 2018,1523811603079,"How do men master the skill of being the trash they are, cause emotional distress to a woman AND still manage to pl https://t.co/X9u2Cfhzl4",1.0,en,"London, England","East Ham, London, United Kingdom",Newham
232552133,jessica_lucy86,Sun Apr 15 17:00:05 +0000 2018,1523811605380,The prettiest spot for Sunday brunch ???????? #elancafe #sundaybrunch #flowerwall #pretty https://t.co/sIxXpLxeMT,1.0,en,"Sunbury, middx","51.4966678, -0.16911328",Kensington and Chelsea
3136555467,_blockuniverse,Sun Apr 15 17:00:05 +0000 2018,1523811605799,Sunday Selection: Here are our top picks of this weeks must see events across the capital. This https://t.co/vYVcEw7LQp,1.0,en,London,"51.50711486, -0.12731805",Westminster
324255876,Nate_PG,Sun Apr 15 17:00:06 +0000 2018,1523811606048,Mes yeux https://t.co/dczMfE643h,5.0,fr,,"Bromley, London, United Kingdom",Bromley
946103922653089793,Sadzonumba9,Sun Apr 15 17:00:06 +0000 2018,1523811606371,AINT NO LOVEEEEE IN THE HEART OF THE CITEHHHHHH https://t.co/ACFk5a4h4Y,4.0,en,Anfield,"Enfield, London, United Kingdom",Enfield
299260351,knina_angel,Sun Apr 15 17:00:06 +0000 2018,1523811606877,"Weekends nearly gone ?? Who got some sun? ? ? 
#sundayvibes #sundayfunday #sundayspecial https://t.co/iajyWbUrb1",1.0,en,London,"51.50711486, -0.12731805",Westminster
403256085,HaqsOrHaqqy,Sun Apr 15 17:00:07 +0000 2018,1523811607221,@Princess291198 Do you want me to hold you to that,10.0,en,South London x Leicester,"Croydon, London, United Kingdom",Croydon
115195475,crwilso,Sun Apr 15 17:00:08 +0000 2018,1523811608377,I did it. I survived rezzed. Nobody talk to me for at least a week plz.,2.0,en,,"Poplar, London, United Kingdom",Tower Hamlets
88887321,blaurock,Sun Apr 15 17:00:09 +0000 2018,1523811609128,"Coleridge's remains rediscovered. 

https://t.co/iSNlL6Y021",2.0,en,"London, England","Romford, London, United Kingdom",Havering
4901365439,tonyloftus6,Sun Apr 15 17:00:09 +0000 2018,1523811609160,@vivjones10 I dare say you are familiar with the word Prat. You must hear it all the time.,6.0,en,"Ealing, London","Ealing, London, United Kingdom",Ealing
18916001,Kevenlaw,Sun Apr 15 17:00:09 +0000 2018,1523811609415,"@HollyHNews lol, HOW can #ManchesterUnited beat #ManchesterCity one week then lose to #WestBrom the bottom team in https://t.co/6vTjTURzrf",29.0,en,Los Angeles...(I wish..lol),"Lewisham, London, United Kingdom",Lewisham
767777197989953537,IndiraTandon1,Sun Apr 15 17:00:13 +0000 2018,1523811613642,@_ayushi025 @SonyTV @SonyLIV Plse read ALL my tweets on this matter over few days. Plse explain how TRPs are collat https://t.co/ICYMI76SDI,5.0,en,UK,"Harrow, London, United Kingdom",Harrow
1310802582,BeardedBakery,Sun Apr 15 17:00:13 +0000 2018,1523811613909,"@kel_letsgo Nah i get bored of looking at cakes haha. Bread, pastry etc are good. I enjoyed a couple of the new the https://t.co/VHRpTvweD6",1.0,en,London,"Walthamstow, London, United Kingdom",Waltham Forest
1476323888,Mohdbinajil,Sun Apr 15 17:00:16 +0000 2018,1523811616082,"????? ????? ??????????? ????? ??????? ?? ???????
.
??? ??????? ???? ??? ????? ????? ?? ???? ??? ??? ?????? ??????? https://t.co/E36JCI5k2S",3.0,ar,dubai,"Hammersmith, London, United Kingdom",Hammersmith and Fulham
875793630,WESFA_Football,Sun Apr 15 17:00:17 +0000 2018,1523811617623,Apologies! Battery went ka-put as the penalty shoot out started - Alliance Cup Final finished @Bayswater_rkfc 7 https://t.co/kbC4mdx5KQ,3.0,en,South East London/North Kent,"Crayford, London, United Kingdom",Bexley
914368935994298373,LillieLBennett,Sun Apr 15 17:00:18 +0000 2018,1523811618646,What song should I cover next? Leave it as a comment below! Xx,10.0,en,"Eltham, London","Eltham, London, United Kingdom",Greenwich
215435356,JonBenjamin19,Sun Apr 15 17:00:20 +0000 2018,1523811620688,"Enhorabuena y felicidades Pep Guardiola - campeones! 

Congratulations to marvellous Man City, EPL champions by a c https://t.co/L9rQXDHgm9",2.0,en,"London, UK","Wandsworth, London, United Kingdom",Wandsworth
131557285,sangarciacorre,Sun Apr 15 17:00:22 +0000 2018,1523811622900,El South Bank y el Thames River en uno de esos días de grandes nubes. Allí pequeños se ven el https://t.co/oVhng95dBb,2.0,es,Buenos Aires,"51.50711486, -0.12731805",Westminster
313530364,angretod,Sun Apr 15 17:00:24 +0000 2018,1523811624297,@Ciaraioch Actually got it the wrong way round. Incant away girleen.,1.0,en,london,"Tottenham, London, United Kingdom",Haringey
327233967,davidcarter27,Sun Apr 15 17:00:27 +0000 2018,1523811627289,Boys 2 and 3 arguing over the parable of the prodigal son. Why?  Neither of them is getting shit from me. #Luke 15. https://t.co/qdDUCNmzoR,2.0,en,London,"Enfield, London, United Kingdom",Enfield
750540913,c0n_h1dden,Sun Apr 15 17:00:32 +0000 2018,1523811632859,All Ive done today is look at food videos and pictures bruv,13.0,en,,"Romford, London, United Kingdom",Havering
15183948,bitoclass,Sun Apr 15 17:00:33 +0000 2018,1523811633274,London's only Hiroshima-style okonomiyaki seller @ShoFooDoh is here until 25 April! ?? (@ The Duke's Head - https://t.co/ZoeNsv4qyy,1.0,en,"London, UK","51.57050209, -0.14615753",Camden
23644881,BoodaFrench,Sun Apr 15 17:00:33 +0000 2018,1523811633816,"Handy with the cannon.
?: @jaestorer @ Shoreditch https://t.co/V8l07tywrc",1.0,en,Ipswich,"51.526, -0.078",Hackney
21655125,natvallade,Sun Apr 15 17:00:36 +0000 2018,1523811636312,Are you sitting in cafe Nero Richmond @rickygervais ???,3.0,en,Barnes,"Richmond, London, United Kingdom",Richmond upon Thames
4797749848,Pogbenched,Sun Apr 15 17:00:39 +0000 2018,1523811639805,"Win away against top of the league, then lose at home to bottom of the league https://t.co/rKprLEZTfi",2.0,en,,"Walthamstow, London, United Kingdom",Waltham Forest
268885147,J_roni_Mo,Sun Apr 15 17:00:41 +0000 2018,1523811641774,"A grey day, but great view for Mama Morans Birthday ? @ Smith's of Tower Bridge https://t.co/jLvFQGMtYM",1.0,en,,"51.50437478, -0.06678792",Tower Hamlets
20072801,_matthewbrazier,Sun Apr 15 17:00:41 +0000 2018,1523811641755,Best decision I ever made ??? https://t.co/XOM4dAFXre,3.0,en,"London, England","Ealing, London, United Kingdom",Ealing
40459297,AnjaliMandalia,Sun Apr 15 17:00:43 +0000 2018,1523811643036,When bestie @zay_arguelles tricks you and tells you were spending Sunday afternoon at https://t.co/q083HxTpux,1.0,en,London,"51.51164927, -0.11979675",Westminster
539475813,marsemluz,Sun Apr 15 17:00:43 +0000 2018,1523811643275,@felipeluzzzzz meu deus eu tava brincando e você me vem direto do inferno com esses dois k sinceramente será que vo https://t.co/ghCQnd1nTO,19.0,pt,"São Paulo, Brasil","Camden Town, London, Reino Unido",Camden
727898941,sisterayuk,Sun Apr 15 17:00:46 +0000 2018,1523811646260,"@carolecadwalla @HNSGR @guardianmusic Great journalism and looks like Sisteray might have penned the soundtrack ;-)

https://t.co/sY7Fg5CDqX",1.0,en,"London, England","Camden Town, London, United Kingdom",Camden
876086587,KitchenArchLtd,Sun Apr 15 17:00:47 +0000 2018,1523811647449,Kitchen Architecture case study: Kitchen dining. Kitchen Architecture  bulthaup b3 furniture in https://t.co/X30O1L2KoN,1.0,en,London | Oxford | Cheshire,"51.50711486, -0.12731805",Westminster
293698185,Bparlma,Sun Apr 15 17:00:47 +0000 2018,1523811647294,@ManCity We knocked your girlies earlier though...#SSEWomensFACup https://t.co/doUkxII8BQ,33.0,en,London,"Hammersmith, London, United Kingdom",Hammersmith and Fulham
469453776,MWWeather,Sun Apr 15 17:00:47 +0000 2018,1523811647990,Wimbledon UK - Precipitation at frequent intervals. Now:13.8C - Full Details at https://t.co/dWIbjAjP34,6.0,en,"Wimbledon, SW London, UK","51.39666667, -0.23722222",Merton
77965255,_onuryuksel,Sun Apr 15 17:00:54 +0000 2018,1523811654256,"Defalarca faul yapt?lar sar? kart vermedi yav?ak, ?lk faulde Mariano ya sar? kart gösterdi. #Sald?rGALATASARAY",2.0,tr,"London, England","Tottenham, London, United Kingdom",Haringey
4833467991,followrivers21,Sun Apr 15 17:00:54 +0000 2018,1523811654365,being an introvert is actually more fun,1.0,en,London / Manchester,"Lambeth, London, United Kingdom",Lambeth
3006154953,jazbeesonmusic,Sun Apr 15 17:00:56 +0000 2018,1523811656881,A snap from my trip to look at my new home come September. So excited to start my journey in the https://t.co/ZdgnlYYFTL,1.0,en,Lincolnshire,"51.50711486, -0.12731805",Westminster
518928608,Callumsmh,Sun Apr 15 17:01:00 +0000 2018,1523811660766,@UtdTJ @benmendy23 @ManCity What do you mean,43.0,en,Costa Del Romford ,"Romford, London, United Kingdom",Havering
40548023,samantham7PD,Sun Apr 15 17:01:01 +0000 2018,1523811661174,"While Pep was out playing golf ? 

Manchester City have guaranteed top spot in the table! 

#Champions #MCFC https://t.co/wtPXHJOLbM",4.0,en,London,"Barnet, London, United Kingdom",Barnet
239172885,James_Hall92,Sun Apr 15 17:01:02 +0000 2018,1523811662616,Barca will lose at Celta on Tuesday.,1.0,en,"England, United Kingdom","Camden Town, London, United Kingdom",Camden
